time_since_TG_s,397_magnetic_lat_deg,397_magnetic_lon_deg,398_magnetic_lat_deg,398_magnetic_lon_deg
164.250000,66.83843994,-91.26654816,66.62332916,-90.66832733
164.300000,66.83890533,-91.26673126,66.62385559,-90.66828918
164.350000,66.83936310,-91.26691437,66.62437439,-90.66825867
164.400000,66.83982849,-91.26710510,66.62490082,-90.66822815
164.450000,66.84028625,-91.26728821,66.62542725,-90.66819000
164.500000,66.84075165,-91.26747131,66.62595367,-90.66815948
164.550000,66.84120941,-91.26765442,66.62648010,-90.66812134
164.600000,66.84167480,-91.26783752,66.62700653,-90.66809082
164.650000,66.84213257,-91.26802063,66.62753296,-90.66806030
164.700000,66.84259796,-91.26820374,66.62805939,-90.66802216
164.750000,66.84305573,-91.26838684,66.62858582,-90.66799164
164.800000,66.84352112,-91.26856995,66.62910461,-90.66796112
164.850000,66.84397888,-91.26876068,66.62963104,-90.66792297
164.900000,66.84443665,-91.26894379,66.63015747,-90.66789246
164.950000,66.84490204,-91.26912689,66.63068390,-90.66786194
165.000000,66.84535980,-91.26931000,66.63121033,-90.66782379
165.050000,66.84582520,-91.26949310,66.63173676,-90.66779327
165.100000,66.84628296,-91.26967621,66.63225555,-90.66775513
165.150000,66.84674072,-91.26985931,66.63278198,-90.66772461
165.200000,66.84720612,-91.27004242,66.63330841,-90.66769409
165.250000,66.84766388,-91.27022552,66.63383484,-90.66765594
165.300000,66.84812164,-91.27040863,66.63435364,-90.66762543
165.350000,66.84858704,-91.27059937,66.63488007,-90.66758728
165.400000,66.84904480,-91.27078247,66.63540649,-90.66755676
165.450000,66.84950256,-91.27096558,66.63593292,-90.66752625
165.500000,66.84996796,-91.27114868,66.63645172,-90.66748810
165.550000,66.85042572,-91.27133179,66.63697815,-90.66745758
165.600000,66.85088348,-91.27151489,66.63750458,-90.66742706
165.650000,66.85134888,-91.27169800,66.63803101,-90.66738892
165.700000,66.85180664,-91.27188110,66.63854980,-90.66735840
165.750000,66.85226440,-91.27206421,66.63907623,-90.66732025
165.800000,66.85272980,-91.27224731,66.63960266,-90.66728973
165.850000,66.85318756,-91.27243805,66.64012146,-90.66725922
165.900000,66.85364532,-91.27262115,66.64064789,-90.66722107
165.950000,66.85410309,-91.27280426,66.64117432,-90.66719055
166.000000,66.85456848,-91.27298737,66.64169312,-90.66716003
166.050000,66.85502625,-91.27317047,66.64221954,-90.66712189
166.100000,66.85548401,-91.27335358,66.64274597,-90.66709137
166.150000,66.85594177,-91.27353668,66.64326477,-90.66705322
166.200000,66.85640717,-91.27371979,66.64379120,-90.66702271
166.250000,66.85686493,-91.27390289,66.64431763,-90.66699219
166.300000,66.85732269,-91.27408600,66.64483643,-90.66695404
166.350000,66.85778046,-91.27426910,66.64536285,-90.66692352
166.400000,66.85823822,-91.27445984,66.64588165,-90.66689301
166.450000,66.85870361,-91.27464294,66.64640808,-90.66685486
166.500000,66.85916138,-91.27482605,66.64692688,-90.66682434
166.550000,66.85961914,-91.27500916,66.64745331,-90.66679382
166.600000,66.86007690,-91.27519226,66.64797974,-90.66675568
166.650000,66.86053467,-91.27537537,66.64849854,-90.66672516
